INDTITLE,IND_2000
Pawnshop (ret.),689
"Pawnshop, loan activities (ret.)",689
Pay telephone service,909
Pay television,667
Payroll accounting service,728
Payroll service,728
Peace advocacy organizations,917
Peach cannery (mfg.),109
Peanut butter (mfg.),128
Peanut butter blended with jam (mfg.),128
Peanut cake (mfg.),107
Peanut candy (mfg.),108
Peanut cleaning and grading,029
Peanut meal (mfg.),107
Peanut oil (mfg.),107
Peanut roasting (mfg.),128
Peanut roasting machinery (mfg.),319
Peanut shelling,029
Peanuts (ret.),498
Peanuts (whsl.),447
Pearl diving,028
Pearl essence (mfg.),229
Pearl jewelry (mfg.),398
"Pearl restringing, exc. at stores",888
"Pearls, artificial (mfg.)",398
Peat (ext.),047
Peat bog (ext.),047
Peat grinding (ext.),047
Peat humus (ext.),047
Peat moss gathering (ext.),047
Peat screening plant (ext.),047
Peat shredding (ext.),047
Peavies (mfg.),279
Pebble (ext.),047
Pectin (mfg.),128
"Pedestals, statuary, exc. wooden (mfg.)",259
"Pedestals, statuary, wooden (mfg.)",389
Pediatrician's office,797
Pediatrist's office,797
Pedicure instruments (mfg.),279
Pedicure scissors (mfg.),279
Pedigree record service,029
Pedometers (mfg.),338
Peeler logs,027
Peeling machines (mfg.),319
Pegmatite (ext.),047
"Pegs, shoe (mfg.)",179
Pellet mills (mfg.),308
"Pelts, fur dressing (mfg.)",179
Pelvimeters (mfg.),396
Pen and pencil shop (ret.),548
Pen points (mfg.),398
Pencil holders (mfg.),398
Pencil point protectors (mfg.),398
Pencil sharpeners (mfg.),398
"Pencils, lead (mfg.)",398
"Pencils, mechanical (mfg.)",398
"Pencils, mechanical (whsl.)",437
Penholders (mfg.),398
Penicillin (mfg.),219
Pennants (mfg.),159
Penny arcade,859
Pens (mfg.),398
"Pens, ball point (mfg.)",398
Pension association,697
Pension consultants,739
Pension funds,697
Pension plans,697
Pension services,697
Penstocks (mfg.),287
Pepper canning (mfg.),109
"Pepper, ground (mfg.)",128
Percale (mfg.),148
"Percolators, electric (mfg.)",347
"Percolators, glass (mfg.)",249
"Percolators, metal, exc. electric (mfg.)",278
"Percussion instruments, musical (mfg.)",398
Perforated metal (mfg.),278
"Perforating service, oil (ext.)",049
Perforating well casings (ext.),049
Perforators (mfg.),319
Performing arts,856
Perfumes (mfg.),228
Perfumes (ret.),508
Perfumes (whsl.),438
Perimeters (mfg.),338
"Periodicals, publishing and printing",648
Periodontist's office,798
"Peripheral equipment, computer (whsl.)",417
"Peripheral equipment, computer stores (ret.)",479
"Peripheral equipment, mail order (ret.)",559
Periscopes (mfg.),309
Perlite (ext.),047
Perlite (mfg.),259
Permanent wave lotion (mfg.),228
Permanent wave machine (mfg.),398
Permanent wave shop,898
Permastone (mfg.),257
Peroxides (mfg.),229
Personal computers (mfg.),336
Personal development school,789
Personal finance co.,689
"Personal leather goods, small (mfg.)",179
Personal loan co.,689
Personal or private estates,697
Personal property auctioning,778
Personal shopping agency,909
Personal trusts,697
Personal watercraft (mfg.),368
Personnel carriers (mfg.),357
Personnel management,739
"Pest control, exc. farm or forest",769
"Pest control, farm",029
"Pest control, forest",029
Pesticide (mfg.),218
Pet clinic,748
Pet food store (ret.),558
Pet foods (mfg.),107
"Pet foods, cat, dog, etc. (whsl.)",447
Pet grooming,909
Pet health insurance carriers,699
Pet hospital,748
Pet shop (ret.),558
Pet sitting,909
Pet supplies (ret.),558
Pet supplies (whsl.),458
Pet training service,909
Petroleum (whsl.),449
Petroleum analysis apparatus (mfg.),338
Petroleum crude production (ext.),037
Petroleum exploration (ext.),049
Petroleum field service (ext.),049
Petroleum lease broker,697
Petroleum oil production (ext.),037
Petroleum production (ext.),037
Petroleum products (mfg.),207
Petroleum products (whsl.),449
Petroleum products distributor (whsl.),449
Petroleum refineries (mfg.),207
Petroleum refinery machinery (mfg.),319
Petroleum terminal (whsl.),449
"Petroleum transport, exc. pipeline",617
Petroleum wax (mfg.),209
"Petroleum, bulk station (whsl.)",449
Petting zoos,857
"Pews, church (mfg.)",389
Pewter ware (mfg.),398
Pharmaceutical machinery (mfg.),319
Pharmaceuticals (mfg.),219
Pharmaceuticals (whsl.),438
Pharmacy (ret.),507
Pharmacy school,788
Phase angle meters (mfg.),338
Phase converters (mfg.),349
Philanthropic league,837
Philanthropic organization,837
Philanthropic trusts,917
Philatelists' supplies (ret.),558
Phlogopite (ext.),047
Phone co.,668
Phonograph and radio combinations (mfg.),337
Phonograph cabinets (mfg.),389
Phonograph concession operators,859
Phonograph needle cartridges (mfg.),339
"Phonograph needle points, diamond (mfg.)",339
Phonograph needles (mfg.),339
Phonograph pickup heads (mfg.),337
Phonograph record store (ret.),529
Phonograph records (mfg.),339
Phonograph records (whsl.),429
"Phonograph records, secondhand (ret.)",549
Phonograph turntables (mfg.),337
Phonographs (ret.),479
"Phonographs and parts, exc. cabinets (mfg.)",337
"Phonographs, coin-operated (whsl.)",417
"Phonographs, exc. coin-operated (whsl.)",419
Phosphate rock (ext.),047
Phosphated flour (mfg.),107
Phosphoric acid (mfg.),218
"Photo developing, exc. motion picture",909
"Photo developing, motion picture",657
Photo mounting service,778
Photo mounts (mfg.),189
Photo offset printing (mfg.),199
Photo studio,749
"Photo studio, commercial",749
Photo transmission equipment (mfg.),337
Photocomposition (mfg.),199
Photocopiers (ret.),548
Photocopiers (whsl.),417
Photocopy equipment (mfg.),309
Photocopy machines (mfg.),309
Photocopy machines (whsl.),417
Photocopying service,759
"Photoelectric cells, solid state (mfg.)",339
Photoengraving (mfg.),199
Photoengraving machinery (mfg.),319
Photoengraving plates (mfg.),199
"Photofinishing labs, including one-hour",909
Photofinishing shop,909
Photoflash bulbs (mfg.),349
Photoflash cubes (mfg.),349
Photoflash equipment (mfg.),309
Photoflash lamps (mfg.),349
Photoflood lamps (mfg.),349
Photogrammetry equipment (mfg.),338
Photograph albums (mfg.),199
Photograph developing,909
Photograph folders (mfg.),189
Photograph frames \ any not listed (mfg.),398
"Photograph frames, glass (mfg.)",249
"Photograph frames, leather (mfg.)",398
"Photograph frames, plastic (mfg.)",237
"Photograph frames, silver (mfg.)",398
Photograph gallery,749
"Photograph gallery, commercial (ret.)",558
Photograph laminating,778
Photograph mats (mfg.),189
Photograph retouching,749
Photograph studio,749
"Photograph studio, commercial or portrait",749
"Photographic apparatus, exc. lamps (mfg.)",309
Photographic bulbs or flashcubes (mfg.),349
Photographic cameras and supplies (ret.),527
Photographic cameras and supplies (whsl.),417
"Photographic chemicals, prepared (mfg.)",229
"Photographic cloth, sensitized (mfg.)",229
"Photographic control systems, electronic (mfg.)",309
Photographic enlargers (mfg.),309
Photographic equipment (whsl.),417
Photographic exposure meters (mfg.),309
Photographic film-base (mfg.),237
Photographic identity recorders (whsl.),417
Photographic instruments (mfg.),309
"Photographic laboratory, exc. motion picture",909
"Photographic laboratory, motion picture",657
Photographic lamps (mfg.),349
Photographic lenses (mfg.),396
"Photographic paper, sensitized (mfg.)",229
Photographic plates (mfg.),229
Photographic printing equipment (mfg.),309
Photographic printing frames (mfg.),309
Photographic processing equipment (mfg.),309
Photographic processing service,909
Photographic sensitized goods (mfg.),229
Photographic sensitometers (mfg.),309
Photographic studio,749
"Photographic studio, commercial or portrait",749
Photographic supplies (ret.),527
Photography \ any not listed,749
Photography coloring,749
Photography studio,749
"Photography, aerial",749
"Photography, commercial or portrait",749
"Photography, computer",749
"Photography, medical",749
"Photography, portrait",749
"Photography, video",749
Photogravure printing (mfg.),199
Photolithographing (mfg.),199
Photostat machines (mfg.),309
Photostat paper (mfg.),229
Photostating service,759
Physical culture gymnasium,859
Physical culture school,789
Physical equestrian therapeutists' offices,808
Physical fitness center,859
Physical rehabilitation centers,809
Physical therapy centers,809
Physician's office,797
Physicians' and surgeons' exchange,758
Physicians' supplies (whsl.),417
Physics laboratory apparatus (mfg.),396
Physics laboratory instruments (mfg.),396
Physiotherapy,808
Physiotherapy equipment (mfg.),396
Piano and organs (ret.),529
Piano cases (mfg.),398
Piano hardware (mfg.),298
Piano moving,617
"Piano parts, exc. hardware (mfg.)",398
Piano tuning,888
Pianos (mfg.),398
Pianos (ret.),529
Piccolo parts (mfg.),398
Piccolos (mfg.),398
Pick and shovel (const.),077
Picker leathers (mfg.),179
Picker machine (mfg.),319
"Picker sticks, loom (mfg.)",319
"Pickery, cotton",029
Pickle packing (mfg.),109
Pickle station (whsl.),447
Pickled fish (mfg.),128
Pickled pigs feet (mfg.),118
Picklers (mfg.),317
Pickles (mfg.),109
Pickles (whsl.),447
Pickling fruits (mfg.),109
Picks (mfg.),279
"Pickup and delivery, cleaning",907
"Pickup heads, phonograph (mfg.)",337
Picnic grounds operation,859
Picture (photo) finishing co.,909
Picture frame moldings (mfg.),398
"Picture frame shops, custom (ret.)",477
Picture frames \ any not listed (mfg.),398
"Picture frames, glass (mfg.)",249
"Picture frames, leather (mfg.)",398
"Picture frames, plastic (mfg.)",237
"Picture frames, silver (mfg.)",398
Picture framing store (ret.),477
"Picture framing, exc. store",888
Picture glass (mfg.),249
Picture plaques (mfg.),398
"Picture postcards, printing (mfg.)",199
Picture show,657
Pictures (ret.),477
Pie filling machinery (mfg.),319
"Pie filling, exc. fruit or vegetable  (mfg.)",128
"Pie filling, fruit or vegetable (mfg.)",109
"Pie plates, foil (mfg.)",298
"Pie plates, paper (mfg.)",188
"Pie plates, tin (mfg.)",298
Pie shop (ret.),119
Piece goods (ret.),528
Piece goods (whsl.),439
Pier (const.),077
"Pier footings, concrete (mfg.)",257
Pier leasing,707
Pier operation,629
Pier rental,707
"Pierogi, exc. frozen (mfg.)",128
"Pierogi, frozen (mfg.)",109
Piers and floats (ret.),558
"Pies, exc. meat or pot (mfg.)",127
"Pies, meat or pot (mfg.)",109
Pig iron (mfg.),267
Pig iron (whsl.),418
"Pigments, organic or inorganic (mfg.)",229
"Pigs' feet, cooked (mfg.)",118
Pilchard catching,028
Pile drivers (mfg.),308
Pile driving (const.),077
"Piling, concrete (mfg.)",257
"Piling, iron and steel (mfg.)",267
"Piling, wood, treated (mfg.)",377
"Piling, wood, untreated",027
Pillow cleaning,907
"Pillow covers, fancy (mfg.)",159
"Pillow filling, exc. rubber (mfg.)",159
"Pillow filling, foam rubber (mfg.)",239
"Pillow filling, sponge rubber (mfg.)",239
Pillow renovating service,907
Pillow tubing (mfg.),159
Pillowcases (mfg.),159
"Pillows, exc. sponge rubber (mfg.)",159
"Pillows, sponge rubber (mfg.)",239
"Pilot association, marine",919
"Pilot lights, radio (mfg.)",349
"Piloting services, water transportation",609
Piloting vessels,629
Pin tickets (mfg.),189
Pin-ball machine parlor,859
Pin-ball machines (mfg.),398
Pine gum extraction,019
Pineapple cannery (mfg.),109
Pineapple plantation,017
Ping-pong parlor,859
Ping-pong tables (mfg.),397
Pinite (ext.),047
Pins (mfg.),398
Pinspotters (mfg.),397
Pipe \ n.s. (mfg.),267
Pipe bending machines (mfg.),317
"Pipe cases, exc. leather (mfg.)",398
"Pipe cases, leather (mfg.)",179
Pipe cleaners (mfg.),398
Pipe couplings (mfg.),298
Pipe covering (ret.),488
Pipe covering (whsl.),426
Pipe covering contractors (const.),077
"Pipe covering, exc. felt (mfg.)",259
"Pipe covering, felt (mfg.)",148
Pipe cutting machines (mfg.),317
"Pipe elbows, sheet metal (mfg.)",287
"Pipe fittings, cast iron (mfg.)",277
"Pipe fittings, exc. cast iron and plastic (mfg)",298
"Pipe fittings, plastic (mfg.)",237
Pipe flanges (mfg.),298
Pipe hangers (mfg.),298
Pipe laying contractors (const.),077
Pipe line (const.),077
Pipe organs (mfg.),398
"Pipe stems and bits, tobacco, rubber (mfg.)",239
"Pipe testing, oil field service (ext.)",049
Pipe threading machines (mfg.),317
"Pipe, aluminum (mfg.)",268
"Pipe, brass (mfg.)",269
"Pipe, bronze (mfg.)",269
"Pipe, cast iron (mfg.)",277
"Pipe, concrete (mfg.)",257
"Pipe, copper (mfg.)",269
"Pipe, fiber (mfg.)",189
"Pipe, fiberglass (mfg.)",237
"Pipe, iron (mfg.)",277
"Pipe, iron or steel (mfg.)",267
"Pipe, lead (mfg.)",269
"Pipe, magnesium (mfg.)",269
"Pipe, metal (whsl.)",418
"Pipe, metal, iron or steel (mfg.)",277
"Pipe, metal, nonferrous, exc. aluminum (mfg.)",269
"Pipe, monel (mfg.)",269
"Pipe, mouthpieces, molded rubber (mfg.)",239
"Pipe, nickel (mfg.)",269
"Pipe, plastic (mfg.)",237
"Pipe, sheet metal (mfg.)",287
"Pipe, tin (mfg.)",269
"Pipe, welded steel (mfg.)",267
"Pipe, zinc (mfg.)",269
"Pipelines, gas",627
"Pipes, tobacco (mfg.)",398
Pipestone (ext.),047
"Piques, cotton (mfg.)",148
"Pistols, exc. toy (mfg.)",297
"Pistols, toy (mfg.)",397
"Piston ring service, auto",877
Piston rings (mfg.),357
Pistons (mfg.),357
Pistons (whsl.),427
Pitch roofing (mfg.),209
Pitchblend (ext.),039
"Pivots, power transmission (mfg.)",318
Pizza mixes (mfg.),127
Pizza parlor (ret.),868
Pizza shop (ret.),868
"Pizza, exc. frozen (mfg.)",128
"Pizza, frozen (mfg.)",109
Pizzeria (ret.),868
"Place mats, exc. paper (mfg.)",159
"Place mats, paper (mfg.)",189
Placenta bank,818
Placer gold (ext.),039
Placer mine (ext.),039
"Planers, machine tools (mfg.)",317
"Planes, hand tools (mfg.)",279
"Planes, printers' (mfg.)",319
Planetarium,857
Planimeters (mfg.),338
Planing mill \ n.s. (mfg.),377
Planing mill machinery (mfg.),319
Planing purchased lumber (mfg.),387
"Planned Parenthood Association, clinic",809
"Planned Parenthood Association, exc. clinic",746
Planning consultants',739
Planographing (mfg.),199
Plant (factory) leasing or rental,707
Plant and shrub maintenance,777
Plant food (mfg.),218
Plant growing,017
Plant hormones (mfg.),218
Plant maintenance service,777
Plant nursery,017
Plantation,017
Planting machines (mfg.),307
Plants ornamental growing,017
"Plants, artificial, exc. glass (mfg.)",398
"Plants, artificial, glass (mfg.)",249
"Plants, potted (ret.)",547
"Plants, potted (whsl.)",458
"Plants, rental (floral)",777
Plantscaping,777
"Plaques, clay (mfg.)",259
"Plaques, picture (mfg.)",398
"Plaques, plaster (mfg.)",259
Plasmapheresis center,818
Plasmas (mfg.),219
Plaster (ext.),047
Plaster (mfg.),257
Plaster (ret.),487
Plaster (whsl.),409
"Plaster board, gypsum (mfg.)",257
"Plaster board, taping and bedding (const.)",077
Plaster mixers (mfg.),308
Plaster moldings (mfg.),257
Plaster of paris (mfg.),257
Plaster of paris art goods (mfg.),257
Plaster of paris moldings (mfg.),257
Plaster ornamental (mfg.),257
Plaster panels (mfg.),257
"Plaster, adhesive (mfg.)",396
"Plaster, dental (mfg.)",396
"Plaster, gypsum (mfg.)",257
Plastering (const.),077
Plastic aprons (mfg.),169
Plastic aquarium accessories (mfg.),237
"Plastic bags, exc. printed (mfg.)",237
"Plastic bags, printed (mfg.)",199
Plastic baskets (mfg.),237
Plastic clothing (mfg.),168
Plastic combs (mfg.),237
Plastic curtains (mfg.),159
Plastic dinnerware (mfg.),237
Plastic doors (mfg.),237
Plastic drainboards (mfg.),389
Plastic draperies (mfg.),159
Plastic drinking straws (mfg.),237
Plastic eyes (mfg.),396
Plastic film (mfg.),237
Plastic fire brick (mfg.),248
Plastic fire clay (ext.),047
Plastic flower pots (mfg.),237
Plastic food containers (mfg.),237
Plastic fruit baskets (mfg.),237
Plastic furniture covers (mfg.),159
Plastic furniture tops (mfg.),389
Plastic furniture toy (mfg.),397
"Plastic furniture, exc. toy (mfg.)",389
Plastic garden hose (mfg.),239
Plastic garment storage bags (mfg.),159
Plastic garments (mfg.),168
Plastic hampers (mfg.),237
Plastic hand seals (mfg.),398
Plastic handbags (mfg.),179
Plastic hose (mfg.),239
Plastic laundry hampers (mfg.),237
Plastic laundry trays (mfg.),237
Plastic laundry tubs (mfg.),237
Plastic mailing tubes (mfg.),237
Plastic marking devices (mfg.),398
Plastic material \ n.s. (mfg.),217
Plastic materials (mfg.),217
Plastic materials (whsl.),438
Plastic molding (mfg.),237
Plastic molding compounds (mfg.),237
Plastic nipples (mfg.),237
Plastic novelties (mfg.),237
Plastic overshoes (mfg.),177
Plastic paints (mfg.),227
Plastic panels (mfg.),237
Plastic piece goods (whsl.),439
Plastic pipe (mfg.),237
Plastic prefabricated houses (mfg.),237
Plastic products \ any not listed (mfg.),237
"Plastic products, fabricated (mfg.)",237
"Plastic products, molded (mfg.)",237
Plastic raincoats (mfg.),168
Plastic refractories (mfg.),248
Plastic rods (mfg.),237
Plastic rope (mfg.),159
Plastic screen (mfg.),237
Plastic sheets (mfg.),237
Plastic shoe heels (mfg.),237
Plastic shoe soles (mfg.),237
Plastic sink tops (mfg.),389
Plastic soling (mfg.),237
Plastic straws (mfg.),237
Plastic surgeon's office,797
Plastic swimming pools (mfg.),397
Plastic table mats (mfg.),237
Plastic table tops (mfg.),389
Plastic tile (mfg.),237
Plastic toilet seats (mfg.),237
Plastic toys (mfg.),397
Plastic trays (mfg.),237
Plastic tubing (mfg.),237
Plastic wood (mfg.),227
"Plastics industries machinery, equipment, and supplies (whsl.)",427
Plastics injection molding (mfg.),237
Plastics scrap (whsl.),428
Plate glass (const.),077
Plate glass (mfg.),249
Plate glass (whsl.),409
Plate glass blanks (mfg.),249
Plate glass insurance co.,699
"Plate holders, photographic (mfg.)",309
Plate printing (mfg.),199
Plated ware (mfg.),298
Plateless engraving (mfg.),199
"Platens, rubber (mfg.)",239
"Plates, aluminum (mfg.)",268
"Plates, copper (mfg.)",269
"Plates, electrotype (mfg.)",199
"Plates, engraver's, metal (mfg.)",319
"Plates, lead (mfg.)",269
"Plates, magnesium (mfg.)",269
"Plates, monel (mfg.)",269
"Plates, nickel (mfg.)",269
"Plates, paper (mfg.)",188
"Plates, photoengraving (mfg.)",199
"Plates, photographic (mfg.)",229
"Plates, steel (mfg.)",267
"Plates, stereotype (mfg.)",199
"Plates, styrofoam (mfg.)",237
"Plates, vitrified (mfg.)",248
"Plates, zinc (mfg.)",269
Plating compounds (mfg.),229
Plating metal (mfg.),289
Platinum (ext.),039
Platinum alloy sheet and tubing (mfg.),269
Platinum extruding (mfg.),269
Platinum foil (mfg.),298
Platinum jewelry (mfg.),398
Platinum ore (ext.),039
Platinum refining (mfg.),269
Platinum smelting (mfg.),269
Play carts (mfg.),397
"Play pens, children's (mfg.)",389
Play suits (mfg.),168
"Play yards, children's (mfg.)",389
Playground,859
Playground balls (mfg.),397
Playground equipment (mfg.),397
Playground equipment (ret.),429
Playground equipment and supplies (whsl.),429
Playhouse operation,856
Playing card shufflers (mfg.),397
Playing cards (mfg.),199
Playing cards (whsl.),429
"Plays, road or stock",856
Pleasure cruise,609
Pleasure resort,866
Pleasure steamer,609
Pleating for the trade (mfg.),159
"Pleating, custom service",907
Plexiglass (mfg.),237
"Pliers, dental (mfg.)",396
"Pliers, hand tools (mfg.)",279
"Plinth blocks, terrazzo (mfg.)",257
Pliofilm bags (mfg.),189
Pliofilm raincoats (mfg.),168
Plisse crepe (mfg.),148
"Plotters and printers, computer (mfg.)",336
Plotting instruments (mfg.),338
"Plowing service, contract",029
"Plows, agricultural (mfg.)",307
Plugging oil wells (ext.),049
"Plugging wells, exc. oil (const.)",077
"Plugs, drain, magnetic (mfg.)",298
"Plugs, drain, rubber (mfg.)",239
"Plugs, ear (mfg.)",396
"Plugs, electric (mfg.)",349
"Plugs, nose (mfg.)",396
"Plugs, spark (mfg.)",357
"Plugs, wooden (mfg.)",387
Plum pudding (mfg.),128
Plumb bobs (mfg.),338
Plumbago (ext.),047
Plumbago (mfg.),259
Plumber's brass goods (mfg.),298
Plumber's fittings (mfg.),298
Plumber's nozzles (mfg.),298
Plumber's putty,227
Plumber's rubber goods (mfg.),239
Plumber's supplies (ret.),487
Plumber's supplies (whsl.),426
Plumber's tools (mfg.),279
Plumber's valves (mfg.),298
Plumbing & heating store (ret.),487
Plumbing and heating (whsl.),426
Plumbing and heating contractor (const.),077
Plumbing and heating store (whsl.),426
Plumbing contractors (const.),077
Plumbing equipment (whsl.),426
Plumbing fixtures (whsl.),426
Plumbing fixtures \ n.s. (mfg.),247
"Plumbing fixtures, china (mfg.)",247
"Plumbing fixtures, metal (mfg.)",298
"Plumbing fixtures, plastics (mfg.)",237
Plumbing nozzles (mfg.),298
Plumbing shop (const.),077
Plumbing store (ret.),487
Plumbing store (whsl.),426
Plumbing supplies (ret.),487
Plumbing supplies (whsl.),426
"Plumbing supplies, exc. pottery (mfg.)",298
"Plumbing supplies, pottery (mfg.)",247
Plumbing supply stores (ret.),487
"Plumes, feather (mfg.)",398
Plushes (mfg.),148
Plywood (mfg.),378
Plywood (whsl.),409
Plywood doors (mfg.),378
Plywood drums (mfg.),378
Plywood pails (mfg.),378
Plywood panels (mfg.),378
Pneumatic aircraft subassemblies (mfg.),298
"Pneumatic hose, plastic (mfg.)",239
"Pneumatic hose, rubber (mfg.)",239
Pneumatic tools (mfg.),317
Pocket knives (mfg.),279
Pocket lighters (mfg.),398
Pocketbook frames (mfg.),298
Pocketbook linings (mfg.),169
Pocketbooks (mfg.),179
Podiatrists' offices or clinics,808
Poetry association,917
Pointing machines (mfg.),336
Poisonous gas (mfg.),229
Poker chips (mfg.),397
Polariscopes (mfg.),338
Polarizers (mfg.),338
Pole creosoting (mfg.),377
"Pole crossarms, treated (mfg.)",377
Pole line (const.),077
Pole line hardware (mfg.),349
Pole line hardware (whsl.),419
Pole treating (mfg.),377
Poles (whsl.),429
Poles for yards (mfg.),377
"Poles, clothesline, metal (mfg.)",287
"Poles, clothesline, wooden (mfg.)",387
"Poles, concrete (mfg.)",257
"Poles, creosoted (mfg.)",377
"Poles, curtain (mfg.)",389
"Poles, cutting",027
"Poles, cutting and preserving (mfg.)",377
"Poles, flag, metal (mfg.)",287
"Poles, flag, wooden (mfg.)",387
"Poles, hewn",027
"Poles, metal (whsl.)",418
"Poles, preserving of (mfg.)",377
"Poles, tent, metal (mfg.)",287
"Poles, tent, wooden (mfg.)",387
"Poles, wooden (mfg.)",377
Police uniforms (mfg.),168
"Policemen's clubs, wooden (mfg.)",387
Policyholders' consulting service,699
Polio Association,917
Polished plate glass (mfg.),249
Polishes (mfg.),228
"Polishing cloths, chemically treated (mfg.)",228
"Polishing cloths, non treated (mfg.)",159
Polishing felts (mfg.),148
Polishing machines (mfg.),317
Polishing rice (mfg.),107
Polishing rouge (mfg.),259
Polishing wheels (mfg.),259
Political Action Committees (PACs),919
Political campaign,919
Political campaign headquarters,919
Political club,919
"Political fundraising, exc. on a contract fee basis",919
Political organization,919
Pollen distribution co.,029
Pollen extracts (mfg.),219
Pollen gathering,029
Pollen processing,029
"Pollution control equipment, air (whsl.)",426
"Pollution control equipment, automotive (mfg.)",357
"Pollution control equipment, exc. automotive (mfg.)",319
Pollution measuring equipment (mfg.),338
"Polo equipment, clothing, exc. knit (mfg.)",168
"Polo equipment, clothing, knit (mfg.)",167
"Polo equipment, exc. apparel (mfg.)",397
Polo field,859
"Polo shirts, exc. knit (mfg.)",168
"Polo shirts, knit (mfg.)",167
Polyester fibers (mfg.),217
Polyester thread (mfg.),147
Polyester yarn (mfg.),147
Polygraph testing,768
Polytechnic institute,788
Polyvinyl fibers (mfg.),217
Pongee (mfg.),147
Pontoons \ any not listed (mfg.),368
"Pontoons, aircraft (mfg.)",358
"Pontoons, plastic (mfg.)",237
"Pontoons, rubber (mfg.)",239
Pool balls (mfg.),397
"Pool hall or room, exc. drinking places",859
"Pool parlor, exc. drinking places",859
Pool room and beer parlor PR,869
Pool tables (mfg.),397
Pool tables (ret.),527
Pop (mfg.),137
Pop-up camper rental,708
Pop-up campers (whsl.),407
Popcorn (whsl.),447
"Popcorn balls, etc. (mfg.)",108
"Popcorn machines, commercial (mfg.)",319
"Popcorn poppers, home (mfg.)",347
Popcorn wagon (ret.),868
"Popcorn, exc. candy covered (mfg.)",128
Poplin (mfg.),148
Porcelain enameled products (mfg.),278
Porcelain enameled utensils (mfg.),278
Porcelain insulators (mfg.),247
"Porcelain supplies, electrical (mfg.)",247
Porcelainware (mfg.),247
"Porch columns, wood (mfg.)",377
Porch furniture (mfg.),389
"Porch gates, metal (mfg.)",287
"Porch gates, wooden (mfg.)",377
"Porch shades, canvas (mfg.)",159
"Porch shades, exc. canvas (mfg.)",389
Porch swings (mfg.),389
Pork (mfg.),118
"Pork and beans, canned (mfg.)",109
"Pork and beans, exc. canned (mfg.)",128
"Port authority, private",629
Portable bleacher seating (mfg.),389
Portable buildings (const.),077
"Portable buildings, metal (mfg.)",287
"Portable buildings, wooden (mfg.)",379
"Portable chemical toilets, metal (mfg.)",298
"Portable chemical toilets, plastic (mfg.)",237
Portable feed mill,029
Portable fire extinguishers (mfg.),398
Portable floor sanding machines (mfg.),319
Portable folding chairs (mfg.),389
"Portable houses, metal (mfg.)",287
"Portable houses, wooden (mfg.)",379
"Portable ice chests or coolers, exc. foam plastic (mfg.)",287
"Portable ice chests or coolers, foam plastic (mfg.)",237
Portable iron lungs (mfg.),396
Portable metal ladders (mfg.),298
"Portable ovens household, convention and microwave (mfg.)",347
"Portable ovens, commercial (mfg.)",319
"Portable ovens, household, exc. convection and microwave (mfg.)",347
Portable plastic lungs (mfg.),396
Portable rock crushing machinery (mfg.),308
Portable rock drills (mfg.),308
Portable room coolers (mfg.),347
Portable sawmill (mfg.),377
Portable screeners (mfg.),308
Portable stone pulverizers (mfg.),308
"Portable tools, power driven (mfg.)",319
Portable transformers (mfg.),349
Porter (mfg.),137
Porter service,909
Portland cement (mfg.),257
Portrait studio artist (drawing painting),856
"Portrait studio, photographic",749
Position Emission Tomography (PET) scanner center,818
"Positioning controls, electric (mfg.)",349
"Post cards, picture (mfg.)",199
Post exchange (ret.),539
"Post hole diggers, nonpowered (mfg.)",279
"Post hole diggers, powered",308
Post office (contract or U.S.),637
Post office contract stations,637
Postage mailing equipment (mfg.),309
Postage meter (whsl.),417
Postage meters (mfg.),309
Postage stamp machines (mfg.),309
Postal service (contract or U.S.),637
"Postal service, independent PR",637
Postal transportation service contract,617
Poster advertising service,747
Posters (mfg.),199
Posts (whsl.),429
"Posts, concrete (mfg.)",257
"Posts, creosoted (mfg.)",377
"Posts, forged metal (mfg.)",278
"Posts, metal, exc. forged (mfg.)",287
"Posts, wooden, exc. hewn (mfg.)",377
"Posts, wooden, hewn",027
"Posts, wooden, treated (mfg.)",377
Pot cheese (mfg.),117
Potash (ext.),047
Potash (mfg.),229
Potassium (mfg.),229
Potato broker (whsl.),447
Potato cellar,639
Potato chips (mfg.),128
"Potato curing, contract",029
Potato dehydrating (mfg.),109
Potato flakes (mfg.),109
Potato flour (mfg.),107
Potato house (whsl.),447
Potato kiln,029
"Potato mashers, wire (mfg.)",279
"Potato mashers, wooden (mfg.)",387
Potato packing plant (whsl.),447
"Potato peelers, electric (mfg.)",319
"Potato peelers, hand (mfg.)",279
Potato processing plant (mfg.),109
Potato starch (mfg.),107
Potato warehouse,639
Potatoes (ret.),498
Potatoes (whsl.),447
"Potatoes, canned (mfg.)",109
"Potatoes, instant (mfg.)",109
"Potatoes, peeled for the trade (mfg.)",128
Potentiometers (mfg.),338
"Pots, annealing (mfg.)",287
"Pots, melting, clay (mfg.)",248
"Pots, melting, metal (mfg.)",287
"Pots, smelting (mfg.)",287
Potted chicken (mfg.),118
Potted meats (mfg.),118
Pottery (mfg.),247
Pottery (ret.),477
Pottery making machinery (mfg.),319
Potting soil (mfg.),218
"Pouches, tobacco (mfg.)",179
Poultry and egg dealer (ret.),498
Poultry and egg dealer (whsl.),447
Poultry and poultry products (ret.),498
Poultry and poultry products (whsl.),447
Poultry buying (whsl.),447
Poultry equipment (whsl.),427
Poultry feed (mfg.),107
Poultry feeders (mfg.),307
Poultry hatchery,018
